"","Item","kcal.tonne","kcal.hg"
"1","Apples",479479.33,47.947933
"2","Barley",3360215.93,336.021593
"3","Bananas",614244.63,61.424463
"4","Cassava",1058035.85,105.803585
"5","Coconuts",1430000.04,143.000004
"6","Seed cotton",4100000,410
"7","Grapes",591589.58,59.158958
"8","Maize",3580802.6,358.08026
"9","Millet",3463917.52,346.391752
"10","Oats",3850000.19,385.000019
"11","Onions, dry",394971.6,39.49716
"12","Oil palm fruit",5400000,540
"13","Plantains",846666.67,84.666667
"14","Potatoes",702122.6,70.21226
"15","Rice, paddy",2800000,280
"16","Sorghum",3430000.4,343.00004
"17","Soybeans",3596499.11,359.649911
"18","Sugar beet",7e+05,70
"19","Sugar cane",291428.56,29.142856
"20","Sunflower seed",2982902.68,298.290268
"21","Sweet potatoes",939797.99,93.979799
"22","Vegetables, fresh nes",220000,22
"23","Wheat",3284000,328.4
"24","Yams",1090000,109
